OBTS;OBTS, sec;MRW1_sta (not used);MRW2_sta (not used);MRW3_sta (not used);MRW4_sta (not used);;MRW1_cmd;MRW2_cmd;MRW3_cmd;MRW4_cmd;;MRW1_meas;MRW2_meas;MRW3_meas;MRW4_meas;
136, 23:26:25;11834785;0;0;0;0;;82,792380;-45,623699;97,250285;-31,165794;;109,651564;-66,339372;133,250029;-46,282874;
136, 23:26:35;11834795;0;0;0;0;;-33,266365;16,013558;-24,494943;24,784980;;-24,626778;9,808524;-12,163976;20,970554;
136, 23:26:45;11834805;0;0;0;0;;-59,905824;28,309369;-47,223297;41,000685;;-58,024978;28,239057;-41,949897;44,252615;
136, 23:26:55;11834815;0;0;0;0;;-65,170435;33,864017;-48,418601;50,615851;;-65,214380;34,716550;-53,911726;45,966470;
136, 23:27:05;11834825;0;0;0;0;;-45,395185;25,329898;-21,102389;49,622694;;-48,207665;26,665826;-23,633621;52,074825;
136, 23:27:15;11834835;0;0;0;0;;-32,211685;15,653209;-11,856361;36,008533;;-33,688237;16,725467;-11,425700;38,777068;
136, 23:27:25;11834845;0;0;0;0;;-22,385583;3,313453;-4,658170;21,040866;;-21,216646;5,950153;-1,502919;24,125805;
136, 23:27:35;11834855;0;0;0;0;;-21,163912;-4,623014;0,703120;17,244018;;-22,596519;-5,106409;-0,606441;17,024293;
136, 23:27:45;11834865;0;0;0;0;;-22,482262;0,580074;-2,249984;20,812352;;-22,614097;-1,801745;-2,478498;20,030131;
136, 23:27:55;11834875;0;0;0;0;;-20,944187;-5,053675;2,794902;18,676625;;-22,192225;-2,478498;0,298826;20,443214;
136, 23:28:05;11834885;0;0;0;0;;-21,568206;-15,248915;13,754785;20,074076;;-22,464684;-15,363172;11,153241;17,982294;
136, 23:28:15;11834895;0;0;0;0;;-14,879777;-14,440327;17,226440;17,665890;;-16,927614;-13,781152;15,503796;18,799671;
136, 23:28:25;11834905;0;0;0;0;;-11,645425;-10,379809;13,974510;15,240126;;-10,907149;-12,568270;18,149285;16,769412;
136, 23:28:35;11834915;0;0;0;0;;-16,224494;-13,869042;19,748883;22,104335;;-14,027244;-11,759682;16,206916;18,913928;
136, 23:28:45;11834925;0;0;0;0;;-18,070184;-3,577123;8,507752;22,992024;;-16,901247;-4,552702;12,199132;24,617989;
136, 23:28:55;11834935;0;0;0;0;;-14,677630;-6,741163;6,477493;14,413960;;-12,875885;-6,758741;12,058508;16,786990;
136, 23:29:05;11834945;0;0;0;0;;-32,079850;-12,207921;-18,272331;1,599598;;-29,390416;-10,942305;-16,329962;2,698223;
136, 23:29:15;11834955;0;0;0;0;;-33,907962;-15,099502;-7,031200;11,777260;;-33,600347;-13,455959;-11,961829;9,228450;
136, 23:29:25;11834965;0;0;0;0;;-23,598465;-20,399269;11,513590;14,703997;;-24,363108;-20,346535;12,234288;16,786990;
136, 23:29:35;11834975;0;0;0;0;;-29,381627;-22,596519;0,131835;6,925732;;-27,298634;-20,583838;0,597652;5,704061;
136, 23:29:45;11834985;0;0;0;0;;-25,989073;-18,659047;15,872934;23,194171;;-26,384578;-19,045763;14,097556;21,875821;
136, 23:29:55;11834995;0;0;0;0;;-23,923658;-13,860253;13,078032;23,141437;;-23,747878;-13,473537;13,807519;23,255694;
136, 23:30:05;11835005;0;0;0;0;;-19,731305;-16,576054;13,561427;16,707889;;-21,410004;-14,809465;13,693262;20,548682;
136, 23:30:15;11835015;0;0;0;0;;-26,586725;-19,063341;9,193294;16,716678;;-26,692193;-19,476424;10,863204;17,384642;
136, 23:30:25;11835025;0;0;0;0;;-29,566196;-21,620940;0,413083;8,358339;;-27,975387;-21,462738;2,091782;9,386652;
136, 23:30:35;11835035;0;0;0;0;;-36,544662;-25,083806;-2,039048;9,421808;;-34,294678;-23,923658;0,597652;9,571221;
